Model,FU_Config,RPS,Avg CFU (kgCO2eq/FU),Std CFU,Avg EFU (kWh/FU),Std EFU,PUE,CI (kgCO2/kWh),Avg Energy Consumed (kWh),Avg Output Tokens,Avg Valid FU Tokens,Avg Emissions (kgCO2eq),CSV Files,TXT Files
bigscience/bloom-7b1,strict,8,0.00000010703450395626,0.00000000040355038190,0.00000024891745106108,0.00000000093848926023,1.11,0.430000,0.008287,33288.80,33288.80,0.003563,output_0.csv;output_1.csv;output_2.csv;output_3.csv;output_4.csv,results_0.txt;results_1.txt;results_2.txt;results_3.txt;results_4.txt
bigscience/bloom-7b1,normal,8,0.00000010703450395626,0.00000000040355038190,0.00000024891745106108,0.00000000093848926023,1.11,0.430000,0.008287,33288.80,33288.80,0.003563,output_0.csv;output_1.csv;output_2.csv;output_3.csv;output_4.csv,results_0.txt;results_1.txt;results_2.txt;results_3.txt;results_4.txt
bigscience/bloom-7b1,strict,16,0.00000005906290472102,0.00000000119848479701,0.00000013735559237447,0.00000000278717394653,1.11,0.430000,0.004437,32301.80,32290.80,0.001908,output_5.csv;output_6.csv;output_7.csv;output_8.csv;output_9.csv,results_5.txt;results_6.txt;results_7.txt;results_8.txt;results_9.txt
bigscience/bloom-7b1,normal,16,0.00000005904303411347,0.00000000117346375706,0.00000013730938165923,0.00000000272898548153,1.11,0.430000,0.004437,32301.80,32301.60,0.001908,output_5.csv;output_6.csv;output_7.csv;output_8.csv;output_9.csv,results_5.txt;results_6.txt;results_7.txt;results_8.txt;results_9.txt
bigscience/bloom-7b1,strict,32,0.00000003624373509252,0.00000000080668516989,0.00000008428775602912,0.00000000187601202300,1.11,0.430000,0.002817,33496.20,33419.80,0.001211,output_10.csv;output_11.csv;output_12.csv;output_13.csv;output_14.csv,results_10.txt;results_11.txt;results_12.txt;results_13.txt;results_14.txt
bigscience/bloom-7b1,normal,32,0.00000003616194249902,0.00000000077966011293,0.00000008409754069540,0.00000000181316305332,1.11,0.430000,0.002817,33496.20,33494.80,0.001211,output_10.csv;output_11.csv;output_12.csv;output_13.csv;output_14.csv,results_10.txt;results_11.txt;results_12.txt;results_13.txt;results_14.txt
bigscience/bloom-7b1,strict,64,0.00000007606180709152,0.00000000842811654638,0.00000017688792346866,0.00000001960027103810,1.11,0.430000,0.001789,32936.40,10246.60,0.000769,output_15.csv;output_16.csv;output_17.csv;output_18.csv;output_19.csv,results_15.txt;results_16.txt;results_17.txt;results_18.txt;results_19.txt
bigscience/bloom-7b1,normal,64,0.00000003197232889493,0.00000000273541437616,0.00000007435425324401,0.00000000636142878176,1.11,0.430000,0.001789,32936.40,24198.00,0.000769,output_15.csv;output_16.csv;output_17.csv;output_18.csv;output_19.csv,results_15.txt;results_16.txt;results_17.txt;results_18.txt;results_19.txt
bigscience/bloom-7b1,strict,128,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1.11,0.430000,0.001615,32743.00,0.00,0.000694,output_20.csv;output_21.csv;output_22.csv;output_23.csv;output_24.csv,results_20.txt;results_21.txt;results_22.txt;results_23.txt;results_24.txt
bigscience/bloom-7b1,normal,128,0.00000003120352584603,0.00000000046632168704,0.00000007256633917681,0.00000000108446903963,1.11,0.430000,0.001615,32743.00,22257.40,0.000694,output_20.csv;output_21.csv;output_22.csv;output_23.csv;output_24.csv,results_20.txt;results_21.txt;results_22.txt;results_23.txt;results_24.txt
